"id_mat_rule"|"mat_general"|"astm_grade"|"incl_all"|"incl_any"|"not_any"
"232"|"MONEL"|"B366-WPNC N04400 ANNEALED"|"B366|WPNC|ANNEALED|WP"|"B366-WPNC|B366 WPNC|B366 GR WPNC|B366 GRADE WPNC|B366-WPNC N04400 ANNEALED|B366 WPNC N04400 ANNEALED"|"SB366-WPNC"
"233"|"MONEL"|"B366-WPNC N04400 ANNEALED SMLS"|"B366|WPNC|SMLS|ANNEALED|WP"|"B366-WPNC|B366 WPNC|B366 GR WPNC|B366 GRADE WPNC|B366-WPNC N04400 ANNEALED SMLS|B366 WPNC N04400 ANNEALED SMLS"|"SB366-WPNC"
"234"|"MONEL"|"B564-N04400"|"B564|N04400"|"B564-N04400|B564 N04400|B564 GR N04400|B564 GRADE N04400"|"SB564-N04400"
"235"|"MONEL"|"B564-N04400 ANNEALED"|"B564|N04400|ANNEALED"|"B564-N04400|B564 N04400|B564 GR N04400|B564 GRADE N04400|B564-N04400 ANNEALED|B564 N04400 ANNEALED"|"SB564-N04400"
"236"|"INCO"|"B366-N06625"|"B366|N06625"|"B366-N06625|B366 N06625|B366 GR N06625|B366 GRADE N06625"|"SB366-N06625"
"237"|"INCO"|"B444-N06625 SMLS"|"B444|N06625|SMLS"|"B444-N06625|B444 N06625|B444 GR N06625|B444 GRADE N06625|B444-N06625 SMLS|B444 N06625 SMLS"|"SB444-N06625"
"238"|"INCO"|"B564-N06625"|"B564|N06625"|"B564-N06625|B564 N06625|B564 GR N06625|B564 GRADE N06625"|"SB564-N06625"
"239"|"INCO"|"B564-N06625 ANNEALED"|"B564|N06625|ANNEALED"|"B564-N06625|B564 N06625|B564 GR N06625|B564 GRADE N06625|B564-N06625 ANNEALED|B564 N06625 ANNEALED"|"SB564-N06625"
"240"|"BRONZE"|"B62-Alloy 83600"|"B62|ALLOY"|"B62-ALLOY|B62 ALLOY|B62 GR ALLOY|B62 GRADE ALLOY|B62-ALLOY 83600|B62 ALLOY 83600"|"SB62-ALLOY"
"241"|"HDPE"|"D3350-CELL 345464C"|"D3350|CELL"|"D3350-CELL|D3350 CELL|D3350 GR CELL|D3350 GRADE CELL|D3350-CELL 345464C|D3350 CELL 345464C"|""
"242"|"CPVC"|"D1784-F439"|"D1784|F439"|"D1784-F439|D1784 F439|D1784 GR F439|D1784 GRADE F439"|""
"243"|"CPVC"|"D1784-F439 TYPE IV GRADE 1 "|"D1784|F439|TYPE"|"D1784-F439|D1784 F439|D1784 GR F439|D1784 GRADE F439|D1784-F439 TYPE IV GRADE 1|D1784 F439 TYPE IV GRADE 1"|""
"244"|"CPVC"|"D1784-F441 TYPE IV "|"D1784|F441|TYPE"|"D1784-F441|D1784 F441|D1784 GR F441|D1784 GRADE F441|D1784-F441 TYPE IV|D1784 F441 TYPE IV"|""
